Ant and Dec win three TV Awards	Why is Facebook worth $15bn?	The amount of money saved in Individual Savings Accounts (ISAs) has now reached 208bn, according to figures from HM Revenue and Customs (HMRC).  ISAs, which let people avoid income or capital gains tax on their savings, have shot up in value in recent years.  Their total value has risen sevenfold from 29bn since 1 April 2000.  It means that almost as much is held in ISAs as is owed by people on credit cards and other forms of non-mortgage debt, such as bank loans.  The Bank of England recently reported that such debt in the UK stood at 216bn.  Fresh investment  The increase in the value of ISAs is due to two things.  The first is the investment return on the cash accounts and the stocks and shares in which the savers' money has been invested.  The other factor is the amount of fresh money invested each year, offset by people withdrawing their money to spend or save elsewhere.  For several years, fresh investment was steady, at around 28bn each year.  But in the past couple of years that has risen, to 33bn in the 2006-07 financial year.  New rules  More than 17 million people currently have an ISA account, of whom 13.6 million made fresh contributions last year.  A quite high proportion of the adult population has bought into the tax advantages of using an ISA each year, said Tom McPhail of stockbrokers Hargreaves Lansdown.  Currently someone can invest  3,000 each tax year in a cash mini-ISA 4,000 each tax year in a stocks and shares mini-ISAor 7,000 each tax year in a maxi-ISA, of which up to 3,000 may be in cash.  From April next year, that structure will change.  People will be allowed to save up to 3,600 in a cash ISA and up to 7,200 in a stocks and shares ISA, within a higher overall annual savings limit of 7,200.
US spending slow despite rate cut	Motorway crash victim dies	
Search for missing firefighters	Search for missing firefighters	A 14-year-old girl who was on a fairground ride which collapsed - leaving five people in hospital - did not know if she would get out alive.  Zoe Clarke became trapped on the ride at a bonfire display at Melford Hall, Long Melford, Suffolk, on Friday, when the car she was in was crushed.  Zoe, from Glemsford, Suffolk, said: I did not know if I would get out alive.  I just feel relieved nothing worse happened because it could so easily have killed us all.  Zoe recalled how the Hellraiser ride started juddering up and down before it left its tracks, shortly before 2100 GMT at the bonfire night.  We thought it was part of the ride, then it crashed, she said.  The paramedics said I was lucky not to break my legs  Zoe Clarke  The car behind had gone into us and we had gone into the car in front so we were trapped.  My legs were scrunched and the bar was against my chest. The paramedics said I was lucky not to break my legs.  The fire crews had to take out the car behind us so we had more room to breath, then they cut the seat bar off.  Police and officers from the Health and Safety Executive have begun an investigation into the accident. The event has been closed.  Suffolk Police said the injuries to the five people on the ride are not as serious as first thought, and West Suffolk Hospital have confirmed that four of the victims have now been released from hospital  A 20-year-old man is still being treated for leg injuries.  Five people were taken to hospital when the ride collapsed  An ambulance service spokesman said: The ride appeared to have either gone off its rail or off its central hinge.  There were about 30 people on the ride when it came to a sudden halt.  Five people were taken to hospital and they were aged between 17 and 25. Four were female and there was one 17-year-old male.  Paramedics described the ride as a ground-level spinning machine.  About 10,000 people were at the 39th Big Night Out - an annual event at Melford Hall which raises money for charity.
Fresh fall in insolvency numbers	High Street 'feeling the pinch'	Google's shares have passed $700 for the first time, lifted by reports it plans to enter the mobile phone market.  Its stock rose 1.7% to $707 on Wednesday on rumours it is working with US networks Verizon and Sprint Nextel.  While none of the firms have commented, Google is said to be looking at mobile phones that run on its software.  The value of Google's shares have now risen eightfold since they were first floated in August 2004, as its profit growth continues to dazzle.  It is now the fifth largest US company by market capitalisation, worth a total $219bn (105bn), surpassed by only Exxon Mobile, General Electric, Microsoft and AT&T.  'Make a splash'  Analyst Avi Greengart of Current Analysis speculated about how Google would be able to tempt mobile phone networks to use its phones.  If Google is going to make a splash, it's going to have to say [to operators], 'Offer our phone and we'll share the revenue,' he said.  Last month, Google saw its net profit for the three months to end of September soar 46% to $1.07bn, compared with $733.4m for the same period last year.  Google's share price has risen by $100 since then.  The world's most popular internet search engine, Google makes the bulk of its money from advertising.  Last year, it spent $1.65bn buying video-sharing website YouTube.  Google's shares were priced at $84 when they debuted in 2004.
Mills blames Sir Paul for split	Ant and Dec win three TV Awards	Europe's last tin mine could restart production in 2009, 11 years after it closed, says its owner.  Baseresult Holdings Ltd, which bought the South Crofty mine in 2001, has created a new company, Western United Mines Limited (WUM), to operate it.  The firm said it would be spending more than 50m on restarting the mine which closed in 1998.  It said rising tin prices had given the mine, first opened in the late 16th Century, another 80 years of life.  Tin prices 'buoyant'  Mark Thompson, chief investment officer with Galena Asset Management, a partner in the new venture, said: New uses for tin, particularly in lead-free solder, will keep prices buoyant for many years to come and make an investment in tin mining a very attractive proposition.  More than 3.5m would be spent during the next seven months on continuing the mine development.  The further 50m of investment would be required by the time the mine starts production.  County councillor Mark Kaczmarek, who worked underground at South Crofty for 17 years, said the mine would give a real boost to Cornish pride, but added there have been promises made in the past.  Compulsory purchase  Crofty Developments, a partner of the new company, still has to resolve a row with the South West Regional Development Agency (RDA) over use of more than 30 acres of land surrounding the site.  The RDA wants to make a compulsory purchase order on the site for leisure, housing and industry, but Crofty Developments has been fighting in the High Court to retain the site.  Stephen Bohane, head of operations for the RDA in Cornwall, said: We have not yet been able to assess Western United Mines' proposals but look forward to finding out more.  He said the RDA still intended to compulsorily purchase the land around South Crofty, or buy it through negotiation.  Two thousand mines  He said: We would only acquire the surface site, not the mine itself.  Planning policy dictates that mineral reserves like those at Crofty cannot be sterilised by development and that access must be maintained.  We are committed to that and are willing to work with the mine owners to ensure that regeneration of the surface site does not compromise future access to tin.  The Cornish mining industry, which dates back to 2,000 BC, reached its peak in the 19th Century, when deep extractions got under way.  Thousands worked in up to 2,000 mines, before the industry collapsed when ores began to be produced more cheaply abroad.
Indiana Jones thief pleads guilty	Industry reacts to games review	A team of US technicians is due to begin disabling North Korea's nuclear complex on Monday with Pyongyang's permission, a top US envoy has said.  The technicians have left Pyongyang and are due to arrive at the main nuclear site, Yongbyon, on Sunday, according to Christopher Hill.  Pyongyang agreed to disabling in return for aid and security guarantees.  It shut down its reactor at Yongbyon in July and is to give details of its programme by the end of the year.  Speaking in Tokyo, Mr Hill said the US experts would start disabling the reactor, North Korea's only functioning one, and two other facilities on Monday.  It's a very big day because it's the first time it [North Korea] is actually going to start dismantling its nuclear programme, he added.  Two months' work  The team, headed by Sung Kim, director of the US State Department's Office of Korean Affairs, reached Pyongyang on Thursday afternoon via Beijing.  We would like to start as soon as possible, Mr Kim said.  The agreement on disabling came after many rounds of six-party negotiations in Beijing involving China, the US, Japan, Russia and the two Koreas.  Earlier, Mr Hill said he was very satisfied with progress made in preparatory talks with his North Korean counterpart, Kim Kye-gwan.  Kim Kye-gwan confirmed there were no major differences in opinion.  Working in two or three-week rotations over about two months, the US experts are expected to slowly disable the plant, which produces weapons-grade plutonium.  It will be a combined effort, with North Korean help and our experts supervising and co-ordinating, said Mr Kim.
Oprah school employee arrested	Baby escapes firework blast	Two men have been arrested as part of the Financial Services Authority's (FSA) first criminal investigation into illegal share selling.  The two suspects were arrested on Wednesday after police helped the FSA raid several addresses in England.  The FSA suspects the men of involvement with Universal Management Services (UMS), a front for fraudulent share traders known as boiler rooms.  The regulator suspects victims of the fraud may have been conned out of 5m.  Victims  Boiler rooms are usually based overseas but sometimes operate with the help of front organisations in the UK that channel the money abroad.  The FSA has no jurisdiction overseas but tries to close down any boiler room activities here.  The fraudsters involved are not authorised by the FSA and typically sell shares to unsuspecting members of the public by cold-calling them.  It shows we will not hesitate to use our powers to protect consumers, including launching criminal investigations where appropriate  Jonathan Phelan, FSA  Q&A: What are boiler rooms?  They then persuade their victims to buy shares that are worthless or have little value.  The FSA said it suspected that UMS had been helping illegal boiler rooms after it received complaints from the public about the high-pressure tactics of the salesmen, who had told their victims to make out cheques to UMS.  The FSA said UMS, which is unrelated to at least four UK registered companies with similar names, appeared to have been taking payments for at least six known boiler rooms.  Assets worth about 5.5m have been frozen so far as part of the investigation.  This the first time we have taken this action and it shows that we will not hesitate to use our powers to protect consumers, including launching criminal investigations where appropriate, said Jonathan Phelan, head of retail enforcement at the FSA.
Electronic Arts to close UK site	Jail term for Prison Break actor	Thousands of people were expected to take part in a parade through north-west London to celebrate Diwali, the Hindu festival of lights.  A procession of floats and musicians was to make its way along Ealing Road and Harrow Road in Brent on Saturday.  Local schoolchildren who have taken part in costume, lantern-making and drumming workshops will show off their new skills in the parade.  Fireworks were being lit at the end of the parade by the mayor of Brent.  The hour-long parade was from Alperton Tube station to Barham Park.  Vashti Waite, festival organiser said: Diwali is a fabulous event for families and I'm delighted we have been able to offer these creative workshops to young people this year.  When the streets of Brent fill with music, dance and light these young people will know they have helped to make it such a special occasion.  Are you celebrating Diwali? Are you going to watch the parade? Send your pictures and videos of the festival and celebrations to:  yourpics@bbc.co.uk or text them to 61124. If you have a large file you can upload here.  Click here to see terms and conditions  At no time should you endanger yourself or others, take any unnecessary risks or infringe any laws.
Labour 'united despite mistakes'	Why popstars are going it alone	Author Harper Lee is to be given America's highest civilian honour by President George W Bush for her outstanding contribution to literature.  Her only novel, To Kill a Mockingbird, which was a plea for racial tolerance, won the Pulitzer Prize in 1961.  The award will be presented to Lee during a ceremony at the White House on 5 November.  The Presidential Medal of Freedom was reinstated in 1963 by President Kennedy to honour remarkable achievements.  Falsely accused  Past recipients of the honour include Muhammad Ali, Aretha Franklin and Doris Day.  Lee, 81, who stopped giving interviews after winning the Pulitzer Prize, rarely makes public appearances.  The film version of To Kill A Mockingbird, made in 1962, won an Oscar for actor Gregory Peck.  He played laywer Atticus Finch, a lawyer who represented a black man who was falsely accused of rape.  In a rare article published in The Oprah Magazine last year, Lee said that in a society where technology prevails, I still plod along with books.
NHS staff protest against reforms	Employment boosts US economy	A man was killed when his car went into a crash barrier during rush hour on a busy stretch of motorway in Warwickshire.  Emergency crews were called to the M6 between junction four and the Corley Services at 1740 GMT on Friday.  The man, who had been driving a Mini, was confirmed dead at the scene, a West Midlands Ambulance spokesman said.  The southbound section of the motorway between junctions three and four was expected to be shut for several hours.
